"","level","Overall","American Indian or Alaska Native","Asian","Black or African American","Native Hawaiian or Other Pacific Islander","Other","White","p","test","Missing"
"inr_admit (median [IQR])","","1.60 [1.30, 2.10]","1.60 [1.40, 1.90]","1.50 [1.30, 2.10]","1.60 [1.20, 2.10]","2.90 [2.26, 3.00]","1.70 [1.30, 2.10]","1.60 [1.30, 2.10]","0.464","nonnorm","2.0"
"wbc_admit (median [IQR])","","8.50 [6.00, 12.90]","6.60 [5.33, 8.77]","9.87 [6.05, 12.73]","7.90 [5.68, 11.64]","17.50 [15.40, 35.45]","7.21 [4.94, 10.83]","8.78 [6.10, 13.01]","0.001","nonnorm","0.0"
"hct_admit (median [IQR])","","29.70 [25.00, 34.90]","24.20 [22.15, 27.63]","29.75 [24.83, 35.45]","29.00 [24.17, 35.82]","33.00 [22.55, 33.90]","29.90 [24.17, 32.52]","29.80 [25.20, 34.90]","0.233","nonnorm","0.0"
"plt_admit (median [IQR])","","114.00 [73.00, 172.00]","90.50 [58.75, 108.00]","100.00 [68.50, 149.25]","125.50 [76.00, 180.75]","72.00 [67.50, 112.50]","93.00 [64.50, 155.25]","114.00 [74.00, 173.00]","0.068","nonnorm","0.1"
"urine_sodium (median [IQR])","","20.00 [16.00, 44.00]","20.00 [10.00, 32.00]","25.00 [20.00, 38.00]","26.00 [20.00, 49.50]","12.50 [8.75, 16.25]","21.00 [20.00, 49.00]","20.00 [15.00, 43.50]","0.043","nonnorm","36.7"
"fena (median [IQR])","","0.36 [0.17, 1.00]","0.17 [0.14, 0.40]","0.56 [0.31, 1.18]","0.37 [0.16, 1.17]","0.04 [0.04, 0.04]","0.37 [0.19, 0.93]","0.35 [0.16, 0.98]","0.197","nonnorm","44.5"
"he_grade_admission (%)","1","1164 (59.9)","3 (25.0)","17 (50.0)","89 (52.0)","0 (0.0)","65 (65.7)","990 (61.0)","<0.001","","2.9"
"","2","297 (15.3)","1 (8.3)","5 (14.7)","31 (18.1)","2 (66.7)","13 (13.1)","245 (15.1)","","",""
"","3","234 (12.0)","6 (50.0)","3 (8.8)","21 (12.3)","0 (0.0)","9 (9.1)","195 (12.0)","","",""
"","4","186 (9.6)","0 (0.0)","5 (14.7)","23 (13.5)","1 (33.3)","9 (9.1)","148 (9.1)","","",""
"","5","61 (3.1)","2 (16.7)","4 (11.8)","7 (4.1)","0 (0.0)","3 (3.0)","45 (2.8)","","",""
"sbp_admission (median [IQR])","","99.00 [87.00, 111.00]","97.00 [86.00, 108.25]","98.00 [84.00, 106.00]","102.00 [90.00, 118.00]","90.00 [88.50, 92.50]","97.00 [86.75, 110.25]","98.00 [87.00, 111.00]","0.073","nonnorm","0.0"
"dbp_admission (median [IQR])","","53.00 [46.00, 61.00]","51.00 [44.00, 55.00]","52.50 [51.00, 59.75]","57.50 [50.75, 67.25]","50.00 [38.00, 52.00]","53.00 [46.75, 59.25]","53.00 [46.00, 60.00]","<0.001","nonnorm","0.0"
"rrt (%)","0","1644 (82.4)","8 (66.7)","25 (73.5)","144 (81.8)","1 (33.3)","67 (67.0)","1399 (83.8)","<0.001","","0.2"
"","1","351 (17.6)","4 (33.3)","9 (26.5)","32 (18.2)","2 (66.7)","33 (33.0)","271 (16.2)","","",""
"rrt_hemodialysis (%)","0","351 (68.6)","2 (50.0)","5 (55.6)","34 (77.3)","2 (100.0)","17 (48.6)","291 (69.6)","0.062","","74.4"
"","1","161 (31.4)","2 (50.0)","4 (44.4)","10 (22.7)","0 (0.0)","18 (51.4)","127 (30.4)","","",""
"initial_rrt (%)","1","104 (29.8)","1 (25.0)","3 (33.3)","7 (22.6)","0 (0.0)","5 (15.2)","88 (32.5)","0.347","","82.5"
"","2","245 (70.2)","3 (75.0)","6 (66.7)","24 (77.4)","1 (100.0)","28 (84.8)","183 (67.5)","","",""
"icu_admission (%)","0","1075 (53.8)","5 (41.7)","16 (47.1)","101 (57.4)","0 (0.0)","52 (52.0)","901 (53.9)","0.319","","0.1"
"","1","922 (46.2)","7 (58.3)","18 (52.9)","75 (42.6)","3 (100.0)","48 (48.0)","771 (46.1)","","",""
"hrs_vasoconstrictor (%)","0","1248 (62.5)","3 (25.0)","22 (64.7)","122 (69.3)","2 (66.7)","60 (60.0)","1039 (62.1)","0.049","","0.1"
"","1","749 (37.5)","9 (75.0)","12 (35.3)","54 (30.7)","1 (33.3)","40 (40.0)","633 (37.9)","","",""
"pressor (%)","0","1409 (70.6)","9 (75.0)","23 (67.6)","125 (71.0)","0 (0.0)","64 (64.0)","1188 (71.1)","0.083","","0.1"
"","1","588 (29.4)","3 (25.0)","11 (32.4)","51 (29.0)","3 (100.0)","36 (36.0)","484 (28.9)","","",""
"intubated (%)","0","1470 (73.6)","9 (75.0)","23 (67.6)","131 (74.4)","1 (33.3)","75 (75.8)","1231 (73.6)","0.633","","0.1"
"","1","527 (26.4)","3 (25.0)","11 (32.4)","45 (25.6)","2 (66.7)","24 (24.2)","442 (26.4)","","",""
"respiratory_failure (%)","1","433 (21.8)","4 (33.3)","9 (26.5)","38 (21.6)","2 (66.7)","21 (21.0)","359 (21.6)","0.136","","0.8"
"","2","80 (4.0)","0 (0.0)","0 (0.0)","9 (5.1)","0 (0.0)","4 (4.0)","67 (4.0)","","",""
"","3","281 (14.2)","2 (16.7)","6 (17.6)","22 (12.5)","1 (33.3)","8 (8.0)","242 (14.6)","","",""
"","4","315 (15.9)","2 (16.7)","3 (8.8)","43 (24.4)","0 (0.0)","14 (14.0)","253 (15.3)","","",""
"","5","875 (44.1)","4 (33.3)","16 (47.1)","64 (36.4)","0 (0.0)","53 (53.0)","738 (44.5)","","",""
"liver_transplant_listed (%)","0","1687 (84.5)","8 (66.7)","24 (70.6)","161 (91.5)","2 (66.7)","81 (81.0)","1411 (84.4)","0.006","","0.1"
"","1","310 (15.5)","4 (33.3)","10 (29.4)","15 (8.5)","1 (33.3)","19 (19.0)","261 (15.6)","","",""
"liver_transplant (%)","0","456 (73.7)","7 (100.0)","2 (18.2)","44 (86.3)","2 (100.0)","36 (75.0)","365 (73.0)","<0.001","","69.0"
"","1","163 (26.3)","0 (0.0)","9 (81.8)","7 (13.7)","0 (0.0)","12 (25.0)","135 (27.0)","","",""
"kidney_transplant (%)","0","1971 (98.6)","12 (100.0)","31 (91.2)","172 (97.7)","3 (100.0)","98 (98.0)","1655 (98.9)","0.022","exact","0.1"
"","1","27 (1.4)","0 (0.0)","3 (8.8)","4 (2.3)","0 (0.0)","2 (2.0)","18 (1.1)","","",""
"palliative_care (%)","0","1567 (78.5)","10 (83.3)","29 (85.3)","134 (76.6)","2 (66.7)","85 (85.9)","1307 (78.1)","0.406","","0.1"
"","1","430 (21.5)","2 (16.7)","5 (14.7)","41 (23.4)","1 (33.3)","14 (14.1)","367 (21.9)","","",""
"discharge_disposition (%)","1","367 (18.4)","2 (16.7)","7 (20.6)","40 (22.9)","2 (66.7)","23 (23.0)","293 (17.6)","0.146","","0.3"
"","2","1044 (52.4)","7 (58.3)","21 (61.8)","85 (48.6)","0 (0.0)","57 (57.0)","874 (52.4)","","",""
"","3","331 (16.6)","1 (8.3)","4 (11.8)","25 (14.3)","0 (0.0)","15 (15.0)","286 (17.1)","","",""
"","4","251 (12.6)","2 (16.7)","2 (5.9)","25 (14.3)","1 (33.3)","5 (5.0)","216 (12.9)","","",""
"code_status (%)","1","1279 (64.2)","8 (66.7)","25 (73.5)","111 (63.1)","0 (0.0)","65 (65.0)","1070 (64.2)","0.443","","0.4"
"","2","410 (20.6)","3 (25.0)","6 (17.6)","35 (19.9)","2 (66.7)","24 (24.0)","340 (20.4)","","",""
"","3","303 (15.2)","1 (8.3)","3 (8.8)","30 (17.0)","1 (33.3)","11 (11.0)","257 (15.4)","","",""
"Akin (%)","1","684 (34.5)","3 (27.3)","10 (29.4)","55 (31.2)","0 (0.0)","27 (27.3)","589 (35.4)","0.542","","0.7"
"","2","464 (23.4)","2 (18.2)","7 (20.6)","39 (22.2)","1 (33.3)","22 (22.2)","393 (23.6)","","",""
"","3","837 (42.2)","6 (54.5)","17 (50.0)","82 (46.6)","2 (66.7)","50 (50.5)","680 (40.9)","","",""
"final_type_of_aki (%)","1","895 (44.8)","4 (33.3)","14 (41.2)","75 (42.6)","1 (33.3)","41 (41.0)","760 (45.4)","0.452","","0.0"
"","2","244 (12.2)","1 (8.3)","2 (5.9)","15 (8.5)","0 (0.0)","14 (14.0)","212 (12.7)","","",""
"","3","600 (30.0)","4 (33.3)","13 (38.2)","61 (34.7)","1 (33.3)","28 (28.0)","493 (29.5)","","",""
"","4","117 (5.9)","1 (8.3)","2 (5.9)","13 (7.4)","1 (33.3)","4 (4.0)","96 (5.7)","","",""
"","5","143 (7.2)","2 (16.7)","3 (8.8)","12 (6.8)","0 (0.0)","13 (13.0)","113 (6.8)","","",""
"MELD_baseline (median [IQR])","","22.00 [16.00, 29.00]","22.00 [19.25, 25.50]","21.50 [17.00, 30.75]","22.00 [17.00, 28.00]","36.00 [29.00, 37.00]","23.00 [17.00, 31.00]","22.00 [16.00, 29.00]","0.597","nonnorm","3.0"
"MELD_Na_baseline (median [IQR])","","25.00 [19.00, 31.00]","27.50 [20.75, 30.25]","24.50 [20.00, 31.00]","25.00 [20.00, 30.00]","37.00 [29.50, 38.00]","26.00 [20.00, 33.00]","25.00 [19.00, 31.00]","0.687","nonnorm","3.0"
"site (%)","baylor","215 (10.8)","2 (16.7)","3 (8.8)","28 (15.9)","0 (0.0)","9 (9.0)","173 (10.3)","<0.001","","0.0"
"","indiana","213 (10.7)","0 (0.0)","3 (8.8)","10 (5.7)","0 (0.0)","0 (0.0)","200 (11.9)","","",""
"","jacksonville","109 (5.5)","0 (0.0)","3 (8.8)","8 (4.5)","0 (0.0)","0 (0.0)","98 (5.9)","","",""
"","kentukey","195 (9.8)","0 (0.0)","0 (0.0)","13 (7.4)","0 (0.0)","4 (4.0)","178 (10.6)","","",""
"","MCW","125 (6.3)","5 (41.7)","2 (5.9)","25 (14.2)","1 (33.3)","9 (9.0)","83 (5.0)","","",""
"","mgh","370 (18.5)","0 (0.0)","7 (20.6)","32 (18.2)","0 (0.0)","21 (21.0)","310 (18.5)","","",""
"","michigan","161 (8.1)","1 (8.3)","0 (0.0)","12 (6.8)","0 (0.0)","3 (3.0)","145 (8.7)","","",""
"","oschner","110 (5.5)","0 (0.0)","1 (2.9)","21 (11.9)","0 (0.0)","4 (4.0)","84 (5.0)","","",""
"","rochester","252 (12.6)","4 (33.3)","9 (26.5)","2 (1.1)","1 (33.3)","6 (6.0)","230 (13.7)","","",""
"","usc","65 (3.3)","0 (0.0)","3 (8.8)","2 (1.1)","0 (0.0)","32 (32.0)","28 (1.7)","","",""
"","yale","184 (9.2)","0 (0.0)","3 (8.8)","23 (13.1)","1 (33.3)","12 (12.0)","145 (8.7)","","",""
"AKI_responders (%)","complete response","840 (42.3)","2 (18.2)","14 (41.2)","68 (38.6)","0 (0.0)","30 (30.3)","726 (43.7)","0.080","","0.7"
"","no response","852 (42.9)","6 (54.5)","15 (44.1)","85 (48.3)","3 (100.0)","53 (53.5)","690 (41.5)","","",""
"","partial response","293 (14.8)","3 (27.3)","5 (14.7)","23 (13.1)","0 (0.0)","16 (16.2)","246 (14.8)","","",""
"clif_score (median [IQR])","","9.00 [8.00, 11.00]","9.00 [8.75, 10.25]","9.50 [8.00, 12.75]","9.00 [8.00, 11.00]","13.00 [12.00, 13.50]","9.00 [8.00, 11.25]","9.00 [8.00, 11.00]","0.229","nonnorm","0.0"
"MAP (median [IQR])","","69.00 [60.67, 77.00]","65.50 [59.42, 70.75]","69.33 [62.08, 73.67]","73.00 [66.17, 81.83]","63.33 [54.83, 65.50]","68.67 [59.83, 75.42]","68.67 [60.33, 77.00]","<0.001","nonnorm","0.0"
"CLIF_C_Score (median [IQR])","","48.76 [42.36, 55.39]","44.92 [38.71, 50.40]","50.68 [42.02, 57.97]","47.35 [42.20, 55.00]","64.60 [64.02, 66.28]","46.95 [41.05, 55.14]","48.92 [42.55, 55.36]","0.056","nonnorm","0.0"
"aclf_grade (%)","1","297 (14.9)","0 (0.0)","5 (14.7)","33 (18.8)","0 (0.0)","14 (14.0)","245 (14.6)","0.553","","0.0"
"","2","609 (30.5)","5 (41.7)","10 (29.4)","57 (32.4)","0 (0.0)","34 (34.0)","503 (30.0)","","",""
"","3","1093 (54.7)","7 (58.3)","19 (55.9)","86 (48.9)","3 (100.0)","52 (52.0)","926 (55.3)","","",""
